Irradiance,Ambient_Temperature,Sun_Azimuth,Sun_Elevation,System_Power,System_Age,System_Status,Fault_Type
713,3.8,-71.3,19.8,5000,0.0732765174774311,0,0
152,2.7,-28.2,11.7,1290.46772229091,3.73148233629815,0,0
75,4.5,-49.6,23.1,366.571465776614,0.236533508696867,0,0
379,17.7,-46.3,45.3,2261.48868719469,1.72078133141874,0,0
453,14.2,-107.2,15.9,2616.08238141648,0.67435177658705,0,0
482,23.1,81.1,17,3115.0727981891,0.212369802053455,0,0
474,12.6,10.3,30,3582.85049356269,0.168396476395683,0,0
142,13.5,1.4,23.4,877.572030313623,0.449567152297619,0,0
743,8.3,-71.3,19.5,5000,2.65722871740417,0,0
427,12.4,-107.2,15.9,2359.65226507684,4.87686265382566,0,0
277,11.7,51.1,6.5,2139.36044521975,4.80736488977705,0,0
147,3.1,-43.1,13.5,853.645312250634,0.465208645857768,0,0
375,8.5,-39,23,2425.99834667072,8.99406884875225,0,0
229,24.6,91.1,27.6,1126.68017775605,0.796633103799683,0,0
582,9.1,78,15.2,3832.00903003338,3.52342159776957,0,0
400,20.3,21.3,59.8,2105.54037475885,1.16957338612171,0,0
730,26,58.5,43.3,5000,0.643586810204416,0,0
288,9.5,50.2,23,2319.97312119402,1.49296171425647,0,0
144,14.6,0,16.2,1226.2734548372,2.72637870097827,0,0
764,18.7,113.4,9.7,4328.40037493061,7.00067023564425,0,0
817,16.8,-96.1,24.9,4851.82153227668,0.662299561037792,0,0
630,11.6,78,15.2,3879.89764743626,9.55198264969682,0,0
93,9,-72.5,23.3,440.148975532957,1.96730394932476,0,0
137,13.9,-14.1,22.5,725.34433029469,3.94011693725241,0,0
550,16.7,-62.6,37.7,3288.24651364195,0.589570190170971,0,0
431,16.3,-59,31.7,2806.92213319252,1.41869636496835,0,0
284,9.1,1.4,23.4,3765.47173200988,2.46815560575368,0,0
736,22.9,98.1,16.5,4812.77485302467,0.382167182789316,0,0
538,17.4,-31,52.7,3536.49822104236,3.43056133567163,0,0
276,11.2,86.1,22.2,1305.32371721355,12.2155175371569,0,0
837,23.6,98,13.1,4872.60092105703,4.77508656311648,0,0
342,10.6,-85.1,14.1,2301.95927611707,1.96496294799766,0,0
537,12.8,-6.4,30.3,4127.24374419883,1.13274805590617,0,0
602,12.8,-43,38.7,5000,1.48965957461298,0,0
707,19.2,18.1,55,4035.84675186707,9.28574145665551,0,0
500,19.2,78.5,36.9,2974.69603355347,0.486731030629253,0,0
199,3.8,28.1,11.6,2214.42489304167,4.425580313498,0,0
77,5.9,-35.2,14.2,354.741447566104,8.1004437739354,0,0
390,5.1,-6.4,30.4,2296.64578611581,13.0528864014928,0,0
755,8.7,-71.3,19.8,5000,0.490503649865342,0,0
623,20.8,-6.4,61,3753.74009480052,1.58305533948195,0,0
413,15,-68.3,43.2,2409.31962085351,0.40158831438053,0,0
387,17,35,29.1,3012.09440740824,4.79151133935359,0,0
328,4.5,-66,8.4,2398.02847684094,4.95070985917334,0,0
36,7.5,-6.1,20.9,145.766155705946,2.87807407628228,0,0
527,14.9,-46.3,45.4,3270.92218045706,1.89045573357697,0,0
727,10.3,101.5,0,4669.97431103781,5.27851807031734,0,0
392,10.8,-63.3,15.3,3251.90380677856,11.3855478152128,0,0
448,11.4,-62.6,37.7,2864.96079191175,1.19254284224688,0,0
